WKT,"id","name","order_id","status","order_type","created_time","start_time","end_time","scheduling_type","order_type_1","capture_count","capture_status_published_count"
"POLYGON ((-136.846467 63.290935,-136.846389 63.335791,-136.94621 63.335791,-136.946132 63.290935,-136.846467 63.290935))","0c3f3c28-beba-46d1-ac9b-9dc923d37a9e","229_additional Task","06963a39-0b5f-4e27-8e81-f068d85d02cf","REQUESTED","IMAGE","Jul 8, 2021, 1:39:29 PM","Jul 8, 2021, 1:39:29 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","2","1"
"POLYGON ((-136.93107 62.385434,-136.930998 62.430296,-137.027789 62.430296,-137.027717 62.385434,-136.93107 62.385434))","1fa5418c-f771-4226-bb5e-10ea6a7997b0","265_additional Task","a81b7cd6-bb12-41c9-8b4d-0a466228cd03","REQUESTED","IMAGE","Jul 8, 2021, 1:40:44 PM","Jul 8, 2021, 1:40:44 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","1","0"
"POLYGON ((-136.494634 62.236621,-136.494562 62.281484,-136.590875 62.281484,-136.590804 62.236621,-136.494634 62.236621))","681f7779-7496-4ea3-a079-b8e4dc728caa","290_additional Task","5a139d3c-0971-479d-a81f-424f389d435b","REQUESTED","IMAGE","Jul 8, 2021, 1:40:48 PM","Jul 8, 2021, 1:40:47 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","1","1"
"POLYGON ((-137.371505 62.532905,-137.371432 62.577766,-137.468701 62.577766,-137.468628 62.532905,-137.371505 62.532905))","bc8471a0-fb19-44b5-a69b-96b91646901b","262_additional Task","57bf76b7-ebff-4670-b627-107a12f69df8","REQUESTED","IMAGE","Jul 8, 2021, 1:40:43 PM","Jul 8, 2021, 1:40:42 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","1","1"
"POLYGON ((-136.726605 62.939969,-136.726529 62.984828,-136.82515 62.984828,-136.825075 62.939969,-136.726605 62.939969))","a568f08c-5334-4dec-9195-4282a9819b7a","248_additional Task","18d0996d-b705-4ea5-a3ba-95eaa8bf2aa6","REQUESTED","IMAGE","Jul 8, 2021, 1:39:54 PM","Jul 8, 2021, 1:39:53 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-136.98728 62.57364,-136.944463 62.685866,-137.040635 62.693609,-137.083101 62.581354,-136.98728 62.57364))","37764d12-ac32-4b01-bbda-4365eb520d92","River_Yukon_85_2021_Q3-Q4 Task","5b7e2ea6-3950-47db-baeb-301f7acc3f85","REQUESTED","IMAGE","Jun 29, 2021, 12:13:04 PM","Jul 1, 2021, 12:00:00 AM","Dec 31, 2021, 11:59:00 PM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-136.90281 62.547713,-136.85973 62.659857,-136.955795 62.667659,-136.998525 62.555485,-136.90281 62.547713))","070dcb74-8910-4e5b-8067-108ae4519333","River_Yukon_84_2021_Q3-Q4 Task","7e366e94-1814-4622-9ba0-fc0a9c4d1762","REQUESTED","IMAGE","Jun 29, 2021, 12:13:04 PM","Jul 1, 2021, 12:00:00 AM","Dec 31, 2021, 11:59:00 PM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-137.497212 62.728114,-137.456 62.840829,-137.55281 62.848219,-137.593663 62.735476,-137.497212 62.728114))","b9daf81c-0cfa-4938-9e7f-1d311751d25e","River_Yukon_91_2021_Q3-Q4 Task","2b9683ad-be81-4582-a9a1-003e6bb85cfe","REQUESTED","IMAGE","Jun 29, 2021, 12:13:09 PM","Jul 1, 2021, 12:00:00 AM","Dec 31, 2021, 11:59:00 PM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-136.609353 62.588521,-136.609279 62.633382,-136.706732 62.633382,-136.706658 62.588521,-136.609353 62.588521))","33421c9c-c739-4ab3-8dd2-6bb326139612","250_additional Task","f3d1e3d1-e538-4979-b3fb-25be32335c0a","REQUESTED","IMAGE","Jul 8, 2021, 1:39:57 PM","Jul 8, 2021, 1:39:56 PM","Dec 31, 2021, 12:00:00 AM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-136.512115 62.342668,-136.461258 62.471318,-136.556611 62.479394,-136.607074 62.35071,-136.512115 62.342668))","164b4507-60ae-4c52-be2f-94d988e4fb90","River_Yukon_79_2021_Q3-Q4 Task","07ed1297-fc62-45f6-b9a0-84f77666e4b5","REQUESTED","IMAGE","Jun 29, 2021, 12:13:00 PM","Jul 1, 2021, 12:00:00 AM","Dec 31, 2021, 11:59:00 PM","FLEXIBLE","IMAGE","0","0"
"POLYGON ((-137.411853 62.702499,-137.37037 62.815132,-137.467073 62.822581,-137.508199 62.709919,-137.411853 62.702499))","4604ac9f-079e-4e55-a6de-7934ae260202","River_Yukon_90_2021_Q3-Q4 Task","3847aed6-dbcc-459e-8886-f285ac26069a","REQUESTED","IMAGE","Jun 29, 2021, 12:13:08 PM","Jul 1, 2021, 12:00:00 AM","Dec 31, 2021, 11:59:00 PM","FLEXIBLE","IMAGE","0","0"
